2021-06-26 13:59:17,194 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.809}
2021-06-26 14:00:31,311 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.809}
2021-06-26 14:01:43,296 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.809}
2021-06-26 14:02:55,551 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.778}
2021-06-26 14:04:05,412 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.778}
2021-06-26 14:05:14,194 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.778}
2021-06-26 14:06:27,693 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.778}
2021-06-26 14:07:40,276 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.251, 'RATIO_DOG': 0.35, 'BTCST': 18.778}
2021-06-26 14:08:50,519 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:100] - INFO: 重启中...
2021-06-26 14:09:12,601 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:97] - INFO:  🚥  ⚒⚒   
2021-06-26 14:09:37,338 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.253, 'RATIO_DOG': 0.35, 'BTCST': 18.778}
2021-06-26 14:10:50,674 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.253, 'RATIO_DOG': 0.35, 'BTCST': 18.778}
2021-06-26 14:12:01,036 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.089, 'DOG': 0.253, 'RATIO_DOG': 0.35, 'BTCST': 18.778}
2021-06-26 14:13:10,777 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:48] - INFO: {'TDOG': 0.088, 'DOG': 0.253, 'RATIO_DOG': 0.35, 'BTCST': 18.838}
