2021-07-07 21:14:30,199 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-07 21:14:42,302 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:101] - INFO: 重启中...
2021-07-07 21:15:03,206 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-07 22:27:56,858 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668076858, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.323}
2021-07-07 22:29:03,816 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668143817, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.323}
2021-07-07 22:30:09,484 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668209485, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.323}
2021-07-07 22:31:16,771 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668276772, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.323}
2021-07-07 22:32:22,537 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668342538, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.323}
2021-07-07 22:33:31,769 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668411769, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.323}
2021-07-07 22:34:39,325 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668479326, 'TDOG': 0.089, 'DOG': 0.233, 'RATIO_DOG': 0.38, 'BTCST': 20.323}
2021-07-07 22:35:47,478 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668547478, 'TDOG': 0.089, 'DOG': 0.234, 'RATIO_DOG': 0.38, 'BTCST': 20.323}
2021-07-07 22:36:59,830 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668619831, 'TDOG': 0.089, 'DOG': 0.233, 'RATIO_DOG': 0.38, 'BTCST': 20.323}
2021-07-07 22:38:06,210 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668686211, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.223}
2021-07-07 22:39:09,854 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668749854, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.223}
2021-07-07 22:40:18,065 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668818065, 'TDOG': 0.089, 'DOG': 0.231, 'RATIO_DOG': 0.39, 'BTCST': 20.169}
2021-07-07 22:42:03,430 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:101] - INFO: 重启中...
2021-07-07 22:42:24,458 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-07 22:42:43,507 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625668963507, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.169}
2021-07-07 22:43:53,900 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669033901, 'TDOG': 0.089, 'DOG': 0.231, 'RATIO_DOG': 0.39, 'BTCST': 20.169}
2021-07-07 22:45:00,852 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669100853, 'TDOG': 0.089, 'DOG': 0.231, 'RATIO_DOG': 0.39, 'BTCST': 20.169}
2021-07-07 22:46:08,868 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669168868, 'TDOG': 0.089, 'DOG': 0.231, 'RATIO_DOG': 0.39, 'BTCST': 20.169}
2021-07-07 22:47:21,466 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669241467, 'TDOG': 0.089, 'DOG': 0.231, 'RATIO_DOG': 0.39, 'BTCST': 20.169}
2021-07-07 22:48:32,368 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669312368, 'TDOG': 0.089, 'DOG': 0.231, 'RATIO_DOG': 0.39, 'BTCST': 20.169}
2021-07-07 22:49:51,418 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669391419, 'TDOG': 0.089, 'DOG': 0.231, 'RATIO_DOG': 0.39, 'BTCST': 20.169}
2021-07-07 22:50:57,319 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669457319, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.169}
2021-07-07 22:52:04,721 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669524722, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.169}
2021-07-07 22:53:15,042 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669595043, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.169}
2021-07-07 22:54:21,444 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669661444, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.169}
2021-07-07 22:55:26,942 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669726943, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.169}
2021-07-07 22:56:31,854 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669791854, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.166}
2021-07-07 22:57:41,015 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669861016, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.166}
2021-07-07 22:58:48,505 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669928505, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.158}
2021-07-07 22:59:55,430 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625669995430, 'TDOG': 0.089, 'DOG': 0.231, 'RATIO_DOG': 0.39, 'BTCST': 20.158}
2021-07-07 23:01:19,573 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625670079573, 'TDOG': 0.089, 'DOG': 0.231, 'RATIO_DOG': 0.39, 'BTCST': 20.158}
2021-07-07 23:02:30,570 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625670150571, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.119}
2021-07-07 23:03:33,808 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625670213808, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.119}
2021-07-07 23:04:40,803 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625670280803, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.119}
2021-07-07 23:05:47,814 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:101] - INFO: 重启中...
2021-07-07 23:06:09,795 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-07 23:07:00,560 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:101] - INFO: 重启中...
2021-07-07 23:07:21,539 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-07 23:08:26,789 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:101] - INFO: 重启中...
2021-07-07 23:08:49,471 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:98] - INFO:  🚥  ⚒⚒   
2021-07-07 23:09:08,479 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625670548479, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.187}
2021-07-07 23:10:15,403 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625670615404, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.187}
2021-07-07 23:11:21,754 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625670681755, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.187}
2021-07-07 23:12:24,936 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625670744936, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.187}
2021-07-07 23:13:36,196 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625670816196, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.187}
2021-07-07 23:14:43,472 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625670883473, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.187}
2021-07-07 23:15:50,669 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625670950669, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.187}
2021-07-07 23:16:57,543 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625671017543, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.187}
2021-07-07 23:18:31,972 - /Users/w/Documents/Github/python_tool/coinTool/pitman.py[line:49] - INFO: {'TIME': 1625671111973, 'TDOG': 0.089, 'DOG': 0.232, 'RATIO_DOG': 0.38, 'BTCST': 20.187}
